



























48.2,26.4,21.8,68.08,5108,0,2026-01-19 03:52:29.673489
88.67,52.8,36.6,83.34,2665,0,2026-01-19 03:53:30.667971
89.7,57.7,49.25,85.79,2273,0,2026-01-19 03:54:21.684514
62.6,24.25,16.25,70.71,4686,0,2026-01-19 03:55:22.698768
41.35,64.65,13.5,70.11,4783,0,2026-01-19 03:56:23.673021
79.28,83.2,53.1,86.86,2103,0,2026-01-19 03:57:24.812724
96.88,89.0,44.45,90.9,1456,0,2026-01-19 03:58:14.796109
68.22,86.35,50.0,84.1,2544,0,2026-01-19 03:59:15.888608
98.08,100.0,90.0,98.27,277,0,2026-01-19 04:00:17.155349
33.35,69.4,37.1,71.65,4536,0,2026-01-19 04:01:18.227190
72.25,48.25,45.15,79.74,3242,0,2026-01-19 04:02:19.242408
58.95,21.8,28.1,70.97,4644,0,2026-01-19 04:03:20.227515
100.0,63.75,19.6,85.42,2333,0,2026-01-19 04:05:00.166452
100.0,82.05,42.15,90.53,1516,0,2026-01-19 04:05:36.623928
71.28,78.95,32.8,81.79,2914,0,2026-01-19 04:06:57.774073
33.77,17.0,18.1,62.83,5947,0,2026-01-19 04:07:58.745882
50.48,24.65,28.75,69.29,4913,0,2026-01-19 04:08:59.707636
83.97,36.3,31.7,79.49,3281,0,2026-01-19 04:10:01.038655
42.92,60.3,30.8,72.12,4461,0,2026-01-19 04:11:02.101695
29.05,20.55,45.2,65.48,5523,0,2026-01-19 04:12:03.057108
40.25,42.65,17.7,67.61,5183,0,2026-01-19 04:13:04.052396
66.78,77.6,73.35,85.56,2310,0,2026-01-19 04:14:05.172844
87.55,95.2,87.6,94.74,842,0,2026-01-19 04:15:06.496007
43.9,37.8,28.85,69.31,4911,0,2026-01-19 04:16:07.480367
31.62,19.75,24.85,63.48,5843,0,2026-01-19 04:17:08.418546
41.08,28.75,21.8,66.59,5346,0,2026-01-19 04:18:09.475285
32.12,18.4,49.8,66.56,5351,0,2026-01-19 04:19:10.607955
25.93,19.55,18.05,61.18,6211,0,2026-01-19 04:20:11.551503
41.08,28.2,34.6,68.12,5101,0,2026-01-19 04:21:12.562652
53.23,62.3,54.45,77.9,3536,0,2026-01-19 04:22:13.520106
34.6,26.45,12.85,63.56,5830,0,2026-01-19 04:23:14.564914
30.6,24.75,21.7,63.46,5847,0,2026-01-19 04:24:15.559759
26.85,16.45,14.0,60.52,6317,0,2026-01-19 04:25:16.590630
24.27,16.65,24.65,61.23,6203,0,2026-01-19 04:26:17.588298
31.2,24.45,25.6,64.06,5751,0,2026-01-19 04:27:18.538071
22.98,18.3,26.1,61.29,6193,0,2026-01-19 04:28:19.479340
54.23,47.35,20.0,71.97,4484,0,2026-01-19 04:29:20.583280
22.02,22.25,13.9,60.02,6396,0,2026-01-19 04:30:21.616819
24.93,16.15,14.6,60.08,6388,0,2026-01-19 04:31:22.628071
28.1,23.95,32.35,64.06,5750,0,2026-01-19 04:32:23.782757
19.77,30.7,41.6,63.98,5763,0,2026-01-19 04:33:24.724039
30.07,30.0,23.95,64.26,5718,0,2026-01-19 04:34:25.702881
28.32,37.3,21.15,64.39,5698,0,2026-01-19 04:35:26.648944
39.52,19.55,30.15,66.09,5425,0,2026-01-19 04:36:27.726128
30.02,20.5,44.15,65.59,5506,0,2026-01-19 04:37:28.714140
38.38,38.15,36.65,68.94,4969,0,2026-01-19 04:38:29.669541
19.82,18.25,43.35,62.66,5975,0,2026-01-19 04:39:30.770026
71.2,58.9,59.45,82.59,2785,0,2026-01-19 04:40:31.868147
29.38,65.4,35.95,70.01,4798,0,2026-01-19 04:41:32.852359
20.5,23.2,17.75,60.24,6361,0,2026-01-19 04:42:33.901087
31.32,20.8,32.85,64.54,5674,0,2026-01-19 04:43:35.135269
36.08,26.6,33.05,66.47,5364,0,2026-01-19 04:44:36.186899
27.75,37.05,17.5,63.76,5799,0,2026-01-19 04:45:37.161271
55.6,37.25,23.75,71.53,4556,0,2026-01-19 04:46:38.264715
35.02,18.65,17.95,63.33,5867,0,2026-01-19 04:47:39.302396
28.15,20.8,13.75,61.36,6183,0,2026-01-19 04:48:40.244628
45.0,31.5,38.75,70.03,4795,0,2026-01-19 04:49:41.514094
81.5,40.35,47.8,81.39,2977,0,2026-01-19 04:50:42.500731
29.8,16.25,24.95,62.6,5984,0,2026-01-19 04:51:43.530475
48.25,53.0,23.8,71.66,4534,0,2026-01-19 04:52:44.657187
36.3,23.8,24.75,65.14,5577,0,2026-01-19 04:53:45.716217
60.83,88.25,97.5,88.42,1852,0,2026-01-19 04:54:46.735128
40.52,25.0,24.7,66.34,5385,0,2026-01-19 04:55:47.736662
33.58,31.7,57.0,69.48,4883,0,2026-01-19 04:56:48.862181
36.77,60.15,53.8,73.44,4250,0,2026-01-19 04:57:49.833382
84.78,39.05,38.3,80.86,3062,0,2026-01-19 04:58:50.876289
